timestamp,channel,action,power_w
1773061543347,CH1,POWER,12.48
1773061543357,CH1,POWER,12.48
1773061543367,CH1,POWER,12.48
1773061543419,CH1,POWER,12.48
1773061543428,CH1,POWER,12.48
1773061543439,CH1,POWER,12.48
1773061543449,CH1,POWER,12.48
1773061543459,CH1,POWER,12.48
1773061543468,CH1,POWER,12.48
1773061543477,CH1,POWER,12.48
1773061543488,CH1,POWER,12.48
1773061543498,CH1,POWER,12.48
1773061543509,CH1,POWER,12.48
1773061543517,CH1,POWER,12.48
1773061543528,CH1,POWER,12.48
1773061543538,CH1,POWER,12.48
1773061543548,CH1,POWER,12.48
1773061543557,CH1,POWER,12.48
1773061543568,CH1,POWER,12.48
1773061543577,CH1,POWER,12.48
1773061543587,CH1,POWER,12.48
1773061543596,CH1,POWER,12.48
1773061543607,CH1,POWER,12.48
1773061543616,CH1,POWER,12.48
1773061543626,CH1,POWER,12.48
1773061543635,CH1,POWER,12.48
1773061543644,CH1,POWER,12.48
1773061543655,CH1,POWER,12.48
1773061543665,CH1,POWER,12.48
1773061543675,CH1,POWER,12.48
1773061543683,CH1,POWER,12.48
1773061543694,CH1,POWER,12.48
1773061543702,CH1,POWER,12.48
1773061543712,CH1,POWER,12.48
1773061543722,CH1,POWER,12.48
1773061543732,CH1,POWER,12.48
1773061543741,CH1,POWER,12.48
1773061543752,CH1,POWER,12.48
1773061543762,CH1,POWER,12.48
1773061543768,CH1,POWER,12.48
1773061543773,CH1,POWER,12.48
1773061543785,CH1,POWER,12.48
1773061543797,CH1,POWER,12.48
1773061543809,CH1,POWER,12.48
1773061543820,CH1,POWER,12.48
1773061543829,CH1,POWER,12.48
1773061543841,CH1,POWER,12.48
1773061543853,CH1,POWER,12.48
1773061543865,CH1,POWER,12.48
1773061543877,CH1,POWER,12.48
1773061543889,CH1,POWER,12.48
1773061543899,CH1,POWER,12.48
1773061543909,CH1,POWER,12.48
1773061543919,CH1,POWER,12.48
1773061543929,CH1,POWER,12.48
1773061543938,CH1,POWER,12.48
1773061543947,CH1,POWER,12.48
1773061543957,CH1,POWER,12.48
1773061543967,CH1,POWER,12.48
1773061543976,CH1,POWER,12.48
1773061543985,CH1,POWER,12.48
1773061543996,CH1,POWER,12.48
1773061544006,CH1,POWER,12.48
1773061544014,CH1,POWER,12.48
1773061544023,CH1,POWER,12.48
1773061544034,CH1,POWER,12.48
1773061544044,CH1,POWER,12.48
1773061544054,CH1,POWER,12.48
1773061544062,CH1,POWER,12.48
1773061544070,CH1,POWER,12.48
1773061544079,CH1,POWER,12.48
1773061544089,CH1,POWER,12.48
1773061544098,CH1,POWER,12.48
1773061544109,CH1,POWER,12.48
1773061544119,CH1,POWER,12.48
1773061544129,CH1,POWER,12.48
1773061544181,CH1,POWER,12.48
1773061544191,CH1,POWER,12.48
1773061544201,CH1,POWER,12.48
1773061544213,CH1,POWER,12.48
1773061544222,CH1,POWER,12.48
1773061544233,CH1,POWER,12.48
1773061544245,CH1,POWER,12.48
1773061544257,CH1,POWER,12.48
1773061544269,CH1,POWER,12.48
1773061544279,CH1,POWER,12.48
1773061544289,CH1,POWER,12.48
1773061544299,CH1,POWER,12.48
1773061544311,CH1,POWER,12.48
1773061544321,CH1,POWER,12.48
1773061544333,CH1,POWER,12.48
1773061544343,CH1,POWER,12.48
1773061544355,CH1,POWER,12.48
1773061544367,CH1,POWER,12.48
1773061544379,CH1,POWER,12.48
1773061544391,CH1,POWER,12.48
1773061544403,CH1,POWER,12.48
1773061544415,CH1,POWER,12.48
1773061544427,CH1,POWER,12.48
1773061544439,CH1,POWER,12.48
1773061544451,CH1,POWER,12.48
1773061544463,CH1,POWER,12.48
1773061544473,CH1,POWER,12.48
1773061544482,CH1,POWER,12.48
1773061544491,CH1,POWER,12.48
1773061544501,CH1,POWER,12.48
1773061544510,CH1,POWER,12.48
1773061544518,CH1,POWER,12.48
1773061544527,CH1,POWER,12.48
1773061544532,CH1,POWER,12.48
1773061544538,CH1,POWER,12.48
1773061544548,CH1,POWER,12.48
1773061544557,CH1,POWER,12.48
1773061544567,CH1,POWER,12.48
1773061544576,CH1,POWER,12.48
1773061544585,CH1,POWER,12.48
1773061544596,CH1,POWER,12.48
1773061544605,CH1,POWER,12.48
1773061544615,CH1,POWER,12.48
1773061544623,CH1,POWER,12.48
1773061544633,CH1,POWER,12.48
1773061544642,CH1,POWER,12.48
1773061544651,CH1,POWER,12.48
1773061544661,CH1,POWER,12.48
1773061544670,CH1,POWER,12.48
1773061544679,CH1,POWER,12.48
