timestamp,channel,action,power_w
1773058982279,CH1,POWER,15.21
1773058982291,CH1,POWER,15.21
1773058982301,CH1,POWER,15.21
1773058982313,CH1,POWER,15.21
1773058982322,CH1,POWER,15.21
1773058982331,CH1,POWER,15.21
1773058982341,CH1,POWER,15.21
1773058982351,CH1,POWER,15.21
1773058982360,CH1,POWER,15.21
1773058982369,CH1,POWER,15.21
1773058982381,CH1,POWER,15.21
1773058982393,CH1,POWER,15.21
1773058982405,CH1,POWER,15.21
1773058982416,CH1,POWER,15.21
1773058982421,CH1,POWER,15.21
1773058982428,CH1,POWER,15.21
1773058982439,CH1,POWER,15.21
1773058982448,CH1,POWER,15.21
1773058982457,CH1,POWER,15.21
1773058982467,CH1,POWER,15.21
1773058982477,CH1,POWER,15.21
1773058982486,CH1,POWER,15.21
1773058982495,CH1,POWER,15.21
1773058982507,CH1,POWER,15.21
1773058982519,CH1,POWER,15.21
1773058982531,CH1,POWER,15.21
1773058982542,CH1,POWER,15.21
1773058982551,CH1,POWER,15.21
1773058982561,CH1,POWER,15.21
1773058982570,CH1,POWER,15.21
1773058982581,CH1,POWER,15.21
1773058982592,CH1,POWER,15.21
1773058982602,CH1,POWER,15.21
1773058982613,CH1,POWER,15.21
1773058982623,CH1,POWER,15.21
1773058982632,CH1,POWER,15.21
1773058982642,CH1,POWER,15.21
1773058982651,CH1,POWER,15.21
1773058982661,CH1,POWER,15.21
1773058982670,CH1,POWER,15.21
1773058982681,CH1,POWER,15.21
1773058982690,CH1,POWER,15.21
1773058982699,CH1,POWER,15.21
1773058982709,CH1,POWER,15.21
1773058982718,CH1,POWER,15.21
1773058982727,CH1,POWER,15.21
1773058982737,CH1,POWER,15.21
1773058982746,CH1,POWER,15.21
1773058982755,CH1,POWER,15.21
1773058982763,CH1,POWER,15.21
1773058982772,CH1,POWER,15.21
1773058982781,CH1,POWER,15.21
1773058982790,CH1,POWER,15.21
1773058982844,CH1,POWER,15.01
1773058982855,CH1,POWER,15.01
1773058982866,CH1,POWER,15.01
1773058982876,CH1,POWER,15.01
1773058982887,CH1,POWER,15.01
1773058982897,CH1,POWER,15.01
1773058982909,CH1,POWER,15.01
1773058982919,CH1,POWER,15.01
1773058982929,CH1,POWER,15.01
1773058982941,CH1,POWER,15.01
1773058982953,CH1,POWER,15.01
1773058982965,CH1,POWER,15.01
1773058982977,CH1,POWER,15.01
1773058982988,CH1,POWER,15.01
1773058982998,CH1,POWER,15.01
1773058983008,CH1,POWER,15.01
1773058983018,CH1,POWER,15.01
1773058983028,CH1,POWER,15.01
1773058983037,CH1,POWER,15.01
1773058983047,CH1,POWER,15.01
1773058983056,CH1,POWER,15.01
1773058983065,CH1,POWER,15.01
1773058983075,CH1,POWER,15.01
1773058983085,CH1,POWER,15.01
1773058983094,CH1,POWER,15.01
1773058983103,CH1,POWER,15.01
1773058983115,CH1,POWER,15.01
1773058983127,CH1,POWER,15.01
1773058983139,CH1,POWER,15.01
1773058983151,CH1,POWER,15.01
1773058983163,CH1,POWER,15.01
1773058983175,CH1,POWER,15.01
1773058983185,CH1,POWER,15.01
1773058983192,CH1,POWER,15.01
1773058983197,CH1,POWER,15.01
1773058983208,CH1,POWER,15.01
1773058983218,CH1,POWER,15.01
1773058983230,CH1,POWER,15.01
1773058983241,CH1,POWER,15.01
1773058983250,CH1,POWER,15.01
1773058983261,CH1,POWER,15.01
1773058983272,CH1,POWER,15.01
1773058983281,CH1,POWER,15.01
1773058983292,CH1,POWER,15.01
1773058983301,CH1,POWER,15.01
1773058983312,CH1,POWER,15.01
1773058983321,CH1,POWER,15.01
1773058983332,CH1,POWER,15.01
1773058983342,CH1,POWER,15.01
1773058983352,CH1,POWER,15.01
1773058983359,CH1,POWER,15.01
1773058983368,CH1,POWER,15.01
1773058983378,CH1,POWER,15.01
1773058983388,CH1,POWER,15.01
1773058983398,CH1,POWER,15.01
1773058983409,CH1,POWER,15.01
1773058983419,CH1,POWER,15.01
1773058983429,CH1,POWER,15.01
1773058983439,CH1,POWER,15.01
1773058983448,CH1,POWER,15.01
1773058983457,CH1,POWER,15.01
1773058983466,CH1,POWER,15.01
1773058983476,CH1,POWER,15.01
1773058983486,CH1,POWER,15.01
1773058983497,CH1,POWER,15.01
1773058983506,CH1,POWER,15.01
1773058983515,CH1,POWER,15.01
1773058983524,CH1,POWER,15.01
1773058983534,CH1,POWER,15.01
1773058983543,CH1,POWER,15.01
1773058983553,CH1,POWER,15.01
1773058983605,CH1,POWER,15.41
1773058983616,CH1,POWER,15.41
1773058983626,CH1,POWER,15.41
1773058983635,CH1,POWER,15.41
1773058983645,CH1,POWER,15.41
1773058983656,CH1,POWER,15.41
1773058983666,CH1,POWER,15.41
1773058983677,CH1,POWER,15.41
1773058983688,CH1,POWER,15.41
1773058983697,CH1,POWER,15.41
1773058983707,CH1,POWER,15.41
1773058983718,CH1,POWER,15.41
1773058983729,CH1,POWER,15.41
1773058983739,CH1,POWER,15.41
1773058983751,CH1,POWER,15.41
1773058983761,CH1,POWER,15.41
1773058983772,CH1,POWER,15.41
1773058983783,CH1,POWER,15.41
1773058983793,CH1,POWER,15.41
1773058983805,CH1,POWER,15.41
1773058983815,CH1,POWER,15.41
1773058983825,CH1,POWER,15.41
1773058983836,CH1,POWER,15.41
1773058983846,CH1,POWER,15.41
1773058983856,CH1,POWER,15.41
1773058983866,CH1,POWER,15.41
1773058983876,CH1,POWER,15.41
1773058983885,CH1,POWER,15.41
1773058983895,CH1,POWER,15.41
1773058983905,CH1,POWER,15.41
1773058983916,CH1,POWER,15.41
1773058983926,CH1,POWER,15.41
1773058983937,CH1,POWER,15.41
1773058983949,CH1,POWER,15.41
1773058983954,CH1,POWER,15.41
1773058983961,CH1,POWER,15.41
1773058983970,CH1,POWER,15.41
1773058983979,CH1,POWER,15.41
1773058983988,CH1,POWER,15.41
1773058983998,CH1,POWER,15.41
1773058984007,CH1,POWER,15.41
1773058984016,CH1,POWER,15.41
1773058984025,CH1,POWER,15.41
1773058984035,CH1,POWER,15.41
1773058984046,CH1,POWER,15.41
1773058984056,CH1,POWER,15.41
1773058984064,CH1,POWER,15.41
1773058984074,CH1,POWER,15.41
1773058984083,CH1,POWER,15.41
1773058984093,CH1,POWER,15.41
1773058984103,CH1,POWER,15.41
1773058984114,CH1,POWER,15.41
1773058984123,CH1,POWER,15.41
1773058984133,CH1,POWER,15.41
1773058984143,CH1,POWER,15.41
1773058984154,CH1,POWER,15.41
1773058984163,CH1,POWER,15.41
1773058984174,CH1,POWER,15.41
1773058984185,CH1,POWER,15.41
1773058984196,CH1,POWER,15.41
1773058984206,CH1,POWER,15.41
1773058984217,CH1,POWER,15.41
1773058984229,CH1,POWER,15.41
1773058984241,CH1,POWER,15.41
1773058984253,CH1,POWER,15.41
1773058984265,CH1,POWER,15.41
1773058984276,CH1,POWER,15.41
1773058984285,CH1,POWER,15.41
1773058984294,CH1,POWER,15.41
1773058984305,CH1,POWER,15.41
1773058984317,CH1,POWER,15.41
1773058984369,CH1,POWER,15.21
1773058984378,CH1,POWER,15.21
1773058984388,CH1,POWER,15.21
1773058984400,CH1,POWER,15.21
1773058984411,CH1,POWER,15.21
1773058984422,CH1,POWER,15.21
1773058984434,CH1,POWER,15.21
1773058984446,CH1,POWER,15.21
1773058984457,CH1,POWER,15.21
1773058984468,CH1,POWER,15.21
1773058984480,CH1,POWER,15.21
1773058984490,CH1,POWER,15.21
1773058984500,CH1,POWER,15.21
