timestamp,channel,action,power_w
1773061127201,CH1,POWER,12.48
1773061127211,CH1,POWER,12.48
1773061127264,CH1,POWER,12.48
1773061127273,CH1,POWER,12.48
1773061127283,CH1,POWER,12.48
1773061127294,CH1,POWER,12.48
1773061127302,CH1,POWER,12.48
1773061127313,CH1,POWER,12.48
1773061127324,CH1,POWER,12.48
1773061127333,CH1,POWER,12.48
1773061127344,CH1,POWER,12.48
1773061127353,CH1,POWER,12.48
1773061127364,CH1,POWER,12.48
1773061127373,CH1,POWER,12.48
1773061127384,CH1,POWER,12.48
1773061127393,CH1,POWER,12.48
1773061127402,CH1,POWER,12.48
1773061127412,CH1,POWER,12.48
1773061127423,CH1,POWER,12.48
1773061127434,CH1,POWER,12.48
1773061127444,CH1,POWER,12.48
1773061127454,CH1,POWER,12.48
1773061127463,CH1,POWER,12.48
1773061127475,CH1,POWER,12.48
1773061127487,CH1,POWER,12.48
1773061127499,CH1,POWER,12.48
1773061127509,CH1,POWER,12.48
1773061127518,CH1,POWER,12.48
1773061127528,CH1,POWER,12.48
1773061127539,CH1,POWER,12.48
1773061127550,CH1,POWER,12.48
1773061127558,CH1,POWER,12.48
1773061127569,CH1,POWER,12.48
1773061127581,CH1,POWER,12.48
1773061127593,CH1,POWER,12.48
1773061127602,CH1,POWER,12.48
1773061127611,CH1,POWER,12.48
1773061127616,CH1,POWER,12.48
1773061127622,CH1,POWER,12.48
1773061127634,CH1,POWER,12.48
1773061127643,CH1,POWER,12.48
1773061127652,CH1,POWER,12.48
1773061127660,CH1,POWER,12.48
1773061127668,CH1,POWER,12.48
1773061127676,CH1,POWER,12.48
1773061127687,CH1,POWER,12.48
1773061127697,CH1,POWER,12.48
1773061127709,CH1,POWER,12.48
1773061127721,CH1,POWER,12.48
1773061127730,CH1,POWER,12.48
1773061127740,CH1,POWER,12.48
1773061127750,CH1,POWER,12.48
1773061127761,CH1,POWER,12.48
1773061127773,CH1,POWER,12.48
1773061127782,CH1,POWER,12.48
1773061127791,CH1,POWER,12.48
1773061127801,CH1,POWER,12.48
1773061127811,CH1,POWER,12.48
1773061127821,CH1,POWER,12.48
1773061127833,CH1,POWER,12.48
1773061127845,CH1,POWER,12.48
1773061127854,CH1,POWER,12.48
1773061127864,CH1,POWER,12.48
1773061127874,CH1,POWER,12.48
1773061127885,CH1,POWER,12.48
1773061127894,CH1,POWER,12.48
1773061127904,CH1,POWER,12.48
1773061127914,CH1,POWER,12.48
1773061127923,CH1,POWER,12.48
1773061127933,CH1,POWER,12.48
1773061127943,CH1,POWER,12.48
1773061127952,CH1,POWER,12.48
1773061127961,CH1,POWER,12.48
1773061127972,CH1,POWER,12.48
1773061127982,CH1,POWER,12.48
1773061128034,CH1,POWER,12.48
1773061128045,CH1,POWER,12.48
1773061128056,CH1,POWER,12.48
1773061128065,CH1,POWER,12.48
1773061128075,CH1,POWER,12.48
1773061128085,CH1,POWER,12.48
1773061128096,CH1,POWER,12.48
1773061128105,CH1,POWER,12.48
1773061128117,CH1,POWER,12.48
1773061128129,CH1,POWER,12.48
1773061128141,CH1,POWER,12.48
1773061128153,CH1,POWER,12.48
1773061128165,CH1,POWER,12.48
1773061128174,CH1,POWER,12.48
1773061128184,CH1,POWER,12.48
1773061128193,CH1,POWER,12.48
1773061128203,CH1,POWER,12.48
1773061128213,CH1,POWER,12.48
1773061128225,CH1,POWER,12.48
1773061128234,CH1,POWER,12.48
1773061128244,CH1,POWER,12.48
1773061128254,CH1,POWER,12.48
1773061128262,CH1,POWER,12.48
1773061128273,CH1,POWER,12.48
1773061128285,CH1,POWER,12.48
1773061128296,CH1,POWER,12.48
1773061128307,CH1,POWER,12.48
1773061128319,CH1,POWER,12.48
1773061128328,CH1,POWER,12.48
1773061128339,CH1,POWER,12.48
1773061128348,CH1,POWER,12.48
1773061128360,CH1,POWER,12.48
1773061128370,CH1,POWER,12.48
1773061128378,CH1,POWER,12.48
1773061128383,CH1,POWER,12.48
1773061128395,CH1,POWER,12.48
1773061128407,CH1,POWER,12.48
