timestamp,channel,action,power_w
1773061006365,CH1,POWER,4.29
1773061006373,CH1,POWER,4.29
1773061006381,CH1,POWER,4.29
1773061006389,CH1,POWER,4.29
1773061006400,CH1,POWER,4.29
1773061006410,CH1,POWER,4.29
1773061006420,CH1,POWER,4.29
1773061006428,CH1,POWER,4.29
1773061006439,CH1,POWER,4.29
1773061006449,CH1,POWER,4.29
1773061006459,CH1,POWER,4.29
1773061006468,CH1,POWER,4.29
1773061006476,CH1,POWER,4.29
1773061006485,CH1,POWER,4.29
1773061006494,CH1,POWER,4.29
1773061006504,CH1,POWER,4.29
1773061006513,CH1,POWER,4.29
1773061006524,CH1,POWER,4.29
1773061006533,CH1,POWER,4.29
1773061006543,CH1,POWER,4.29
1773061006553,CH1,POWER,4.29
1773061006564,CH1,POWER,4.29
1773061006575,CH1,POWER,4.29
1773061006585,CH1,POWER,4.29
1773061006595,CH1,POWER,4.29
1773061006604,CH1,POWER,4.29
1773061006615,CH1,POWER,4.29
1773061006624,CH1,POWER,4.29
1773061006633,CH1,POWER,4.29
1773061006685,CH1,POWER,17.55
1773061006695,CH1,POWER,17.55
1773061006704,CH1,POWER,17.55
1773061006715,CH1,POWER,17.55
1773061006724,CH1,POWER,17.55
1773061006732,CH1,POWER,17.55
1773061006742,CH1,POWER,17.55
1773061006754,CH1,POWER,17.55
1773061006765,CH1,POWER,17.55
1773061006774,CH1,POWER,17.55
1773061006784,CH1,POWER,17.55
1773061006793,CH1,POWER,17.55
1773061006804,CH1,POWER,17.55
1773061006813,CH1,POWER,17.55
1773061006822,CH1,POWER,17.55
1773061006831,CH1,POWER,17.55
1773061006842,CH1,POWER,17.55
1773061006851,CH1,POWER,17.55
1773061006860,CH1,POWER,17.55
1773061006870,CH1,POWER,17.55
1773061006880,CH1,POWER,17.55
1773061006891,CH1,POWER,17.55
1773061006900,CH1,POWER,17.55
1773061006911,CH1,POWER,17.55
1773061006921,CH1,POWER,17.55
1773061006931,CH1,POWER,17.55
1773061006942,CH1,POWER,17.55
1773061006951,CH1,POWER,17.55
1773061006960,CH1,POWER,17.55
1773061006968,CH1,POWER,17.55
1773061006977,CH1,POWER,17.55
1773061006986,CH1,POWER,17.55
1773061006997,CH1,POWER,17.55
1773061007006,CH1,POWER,17.55
1773061007015,CH1,POWER,17.55
1773061007025,CH1,POWER,17.55
1773061007035,CH1,POWER,17.55
1773061007040,CH1,POWER,17.55
1773061007048,CH1,POWER,17.55
1773061007060,CH1,POWER,17.55
1773061007072,CH1,POWER,17.55
1773061007084,CH1,POWER,17.55
1773061007095,CH1,POWER,17.55
1773061007105,CH1,POWER,17.55
1773061007114,CH1,POWER,17.55
1773061007124,CH1,POWER,17.55
1773061007134,CH1,POWER,17.55
1773061007145,CH1,POWER,17.55
1773061007155,CH1,POWER,17.55
1773061007165,CH1,POWER,17.55
1773061007177,CH1,POWER,17.55
1773061007186,CH1,POWER,17.55
1773061007194,CH1,POWER,17.55
1773061007204,CH1,POWER,17.55
1773061007212,CH1,POWER,17.55
1773061007221,CH1,POWER,17.55
1773061007229,CH1,POWER,17.55
1773061007237,CH1,POWER,17.55
1773061007245,CH1,POWER,17.55
1773061007253,CH1,POWER,17.55
1773061007262,CH1,POWER,17.55
1773061007271,CH1,POWER,17.55
1773061007282,CH1,POWER,17.55
1773061007291,CH1,POWER,17.55
1773061007301,CH1,POWER,17.55
1773061007310,CH1,POWER,17.55
1773061007319,CH1,POWER,17.55
1773061007331,CH1,POWER,17.55
1773061007342,CH1,POWER,17.55
1773061007352,CH1,POWER,17.55
1773061007362,CH1,POWER,17.55
1773061007371,CH1,POWER,17.55
1773061007380,CH1,POWER,17.55
1773061007391,CH1,POWER,17.55
1773061007401,CH1,POWER,17.55
1773061007454,CH1,POWER,17.75
1773061007463,CH1,POWER,17.75
1773061007473,CH1,POWER,17.75
1773061007483,CH1,POWER,17.75
1773061007491,CH1,POWER,17.75
1773061007499,CH1,POWER,17.75
1773061007509,CH1,POWER,17.75
1773061007518,CH1,POWER,17.75
1773061007529,CH1,POWER,17.75
1773061007539,CH1,POWER,17.75
1773061007549,CH1,POWER,17.75
1773061007558,CH1,POWER,17.75
1773061007566,CH1,POWER,17.75
1773061007576,CH1,POWER,17.75
1773061007586,CH1,POWER,17.75
1773061007595,CH1,POWER,17.75
1773061007606,CH1,POWER,17.75
1773061007617,CH1,POWER,17.75
1773061007627,CH1,POWER,17.75
1773061007638,CH1,POWER,17.75
1773061007647,CH1,POWER,17.75
1773061007658,CH1,POWER,17.75
1773061007669,CH1,POWER,17.75
1773061007678,CH1,POWER,17.75
1773061007689,CH1,POWER,17.75
1773061007699,CH1,POWER,17.75
1773061007709,CH1,POWER,17.75
1773061007718,CH1,POWER,17.75
1773061007729,CH1,POWER,17.75
1773061007738,CH1,POWER,17.75
1773061007748,CH1,POWER,17.75
1773061007757,CH1,POWER,17.75
1773061007767,CH1,POWER,17.75
1773061007778,CH1,POWER,17.75
1773061007789,CH1,POWER,17.75
1773061007798,CH1,POWER,17.75
1773061007804,CH1,POWER,17.75
